Role,Day,Task_ID,Task,Category,Owner,Dependencies,Status,Notes
Data Engineer 1,Day 1,DE1-001,Request access to dev environment (Iceberg cluster / Spark / orchestration tooling),Environment Setup,Nirav Dalal,DevOps confirms infra ready,Not Started,Coordinate with DevOps for credentials
Data Engineer 1,Day 1,DE1-002,Clone project repos and verify build/test pipeline runs locally,Environment Setup,Senior DE 1,,Not Started,
Data Engineer 1,Day 2,DE1-003,Review solution brief - understand MVP scope (Linear Ent + News) and 7 milestones,Domain Knowledge,Senior DE 1,,Not Started,Focus on data flow sections and consolidation architecture
Data Engineer 1,Day 2,DE1-004,Team introductions - meet onshore Architect / Finance SME / Engagement Lead,Domain Knowledge,Nirav Dalal,,Not Started,Schedule via Sana Hassan
Data Engineer 1,Day 3,DE1-005,Request and verify access to iDeal capacity system,Data Access,Senior DE 1,Onshore facilitates access,Not Started,Used for Linear Ent and News capacity data
Data Engineer 1,Day 3,DE1-006,Request and verify access to SmartView (SAP S/4 HANA),Data Access,Senior DE 1,Onshore facilitates access,Not Started,Used across all Linear models
Data Engineer 1,Day 4,DE1-007,Review sample Linear Entertainment Excel models (3-4 of 18 network models),Domain Knowledge,Senior DE 1,Finance SME provides models,Not Started,Focus on structure: tabs / formulas / input cells / output cells
Data Engineer 1,Day 4,DE1-008,Document data fields and transformations observed in Entertainment models,Domain Knowledge,Senior DE 1,DE1-007,Not Started,Map to glossary terms (FDR / ADU / BUF / CUF / Scatter Mix)
Data Engineer 1,Day 5,DE1-009,Review Linear News (CNN) Excel model,Domain Knowledge,Senior DE 1,Finance SME provides model,Not Started,Note structural differences: preemptions / breaking news assumptions
Data Engineer 1,Day 5,DE1-010,Document data fields and transformations in News model,Domain Knowledge,Senior DE 1,DE1-009,Not Started,Compare against Entertainment model patterns
Data Engineer 1,Day 6,DE1-011,Understand Z Bridge -> Z Dataset -> ZZ file consolidation flow end-to-end,Domain Knowledge,Senior DE 1,Finance SME walkthrough,Not Started,This is the critical downstream dependency for all Linear models
Data Engineer 1,Day 6,DE1-012,Map source-to-target data lineage for Linear Entertainment,Domain Knowledge,Senior DE 1,DE1-008,Not Started,Inputs: P&P / Stewardship -> Model -> Z Bridge -> ZZ
Data Engineer 1,Day 7,DE1-013,Review Iceberg table design patterns and partitioning strategies,Technical Setup,Senior DE 1,,Not Started,Align with Tech Architect on conventions
Data Engineer 1,Day 7,DE1-014,Review Spark job configuration and cluster sizing,Technical Setup,Senior DE 1,DevOps,Not Started,Understand compute constraints for pipeline design
Data Engineer 1,Day 8,DE1-015,Review data dictionary requirements from solution brief,Technical Setup,Senior DE 1,,Not Started,Key metrics: revenue / booked vs delivered / ratecard / units / CPM
Data Engineer 1,Day 8,DE1-016,Document field-level definitions for Entertainment model inputs and outputs,Technical Setup,Senior DE 1,DE1-008,Not Started,Cross-reference with glossary in Appendix 1
Data Engineer 1,Day 9,DE1-017,Review ETL/ELT patterns agreed upon by Tech Architect,Technical Setup,Senior DE 1,Tech Architect,Not Started,Understand orchestration framework and scheduling approach
Data Engineer 1,Day 9,DE1-018,Prototype a sample Iceberg table write using Spark with test data,Technical Setup,Senior DE 1,DE1-013,Not Started,Validate environment end-to-end
Data Engineer 1,Day 10,DE1-019,Onboarding completion checkpoint - present findings to team,Checkpoint,Nirav Dalal,,Not Started,Cover: access status / domain understanding gaps / technical readiness
Data Engineer 1,Day 10,DE1-020,Document open questions and blockers for Sprint 1 planning,Checkpoint,Senior DE 1,,Not Started,Feed into Sprint 2 backlog
Data Engineer 2,Day 1,DE2-001,Request access to dev environment (Iceberg cluster / Spark / orchestration tooling),Environment Setup,Nirav Dalal,DevOps confirms infra ready,Not Started,Coordinate with DevOps for credentials
Data Engineer 2,Day 1,DE2-002,Clone project repos and verify build/test pipeline runs locally,Environment Setup,Senior DE 2,,Not Started,
Data Engineer 2,Day 2,DE2-003,Review solution brief - focus on Digital model context (out of MVP but needed for ZZ understanding),Domain Knowledge,Senior DE 2,,Not Started,Understand WRR consolidation even though Digital is Phase 2
Data Engineer 2,Day 2,DE2-004,Team introductions - meet onshore Architect / Finance SME / Engagement Lead,Domain Knowledge,Nirav Dalal,,Not Started,Schedule via Sana Hassan
Data Engineer 2,Day 3,DE2-005,Request and verify access to BI Tool,Data Access,Senior DE 2,Onshore facilitates access,Not Started,Used for Linear Ent / Sports / News data pulls
Data Engineer 2,Day 3,DE2-006,Request and verify access to Stewardship report sources (Ent Research / CNN Research),Data Access,Senior DE 2,Onshore facilitates access,Not Started,Key input for impressions and audience data
Data Engineer 2,Day 4,DE2-007,Review remaining Linear Entertainment Excel models (focus on different network structures),Domain Knowledge,Senior DE 2,Finance SME provides models,Not Started,Complement DE1 coverage - aim for full 18-model understanding across both DEs
Data Engineer 2,Day 4,DE2-008,Document variations across Entertainment network models,Domain Knowledge,Senior DE 2,DE2-007,Not Started,Identify which models share structure vs have unique logic
Data Engineer 2,Day 5,DE2-009,Review P&P (Pricing and Planning) data source structure and refresh cadence,Domain Knowledge,Senior DE 2,Finance SME walkthrough,Not Started,Primary input for booked revenue / impressions / units
Data Engineer 2,Day 5,DE2-010,Review Stewardship report structure and data refresh cadence,Domain Knowledge,Senior DE 2,DE2-006,Not Started,Used for audience delivery actuals
Data Engineer 2,Day 6,DE2-011,Understand Z Bridge -> Z Dataset -> ZZ file consolidation (focus on data transformations),Domain Knowledge,Senior DE 2,Finance SME walkthrough,Not Started,Coordinate with DE1 to avoid duplication
Data Engineer 2,Day 6,DE2-012,Map source-to-target data lineage for Linear News,Domain Knowledge,Senior DE 2,DE1-010,Not Started,Inputs: P&P / Stewardship -> Model -> Z Bridge -> ZZ
