Sprint,Date,Handoff_ID,From_Team,To_Team,Artifact,Description,SLA_Hours,Status,Blocker,Notes
S1,2026-04-06,HO-001,Onshore (Sana Hassan),Offshore (Nirav Dalal),Solution brief + onboarding package,Distribute solution brief / glossary / stakeholder map / access request forms to full offshore team,4,Not Started,,Must be available before Day 1 activities begin
S1,2026-04-06,HO-002,DevOps (Offshore),All Offshore,Dev environment credentials,Provision and distribute Iceberg / Spark / orchestration access to DE and DS team,8,Not Started,,Blocking: all offshore onboarding tasks depend on env access
S1,2026-04-07,HO-003,Onshore (Evgeniya Kapusta),Offshore (All),Discovery session 1 recording - Linear Entertainment workflow,Record and share session with Natalia Gordienko covering Ent workflow end-to-end,4,Not Started,,Offshore consumes async to understand business context
S1,2026-04-07,HO-004,Onshore (Evgeniya Kapusta),Offshore (Senior DE 1),Linear Entertainment Excel models (sample 3-4 of 18),Provide representative Entertainment network models for DE analysis,4,Not Started,,Ensure models contain formulas not just values
S1,2026-04-08,HO-005,Onshore (Evgeniya Kapusta),Offshore (All),Discovery session 2 recording - Linear News (CNN) workflow,Record and share session with Jamie Jackette covering News workflow,4,Not Started,,Note structural differences from Entertainment
S1,2026-04-08,HO-006,Onshore (Evgeniya Kapusta),Offshore (Senior DE 2),Linear News Excel model (CNN),Provide CNN model for DE analysis,4,Not Started,,
S1,2026-04-09,HO-007,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Discovery session 3 recording - Liability forecast process,Record and share liability walkthrough covering iDeal -> research -> model -> adjustments,4,Not Started,,Key for liability traceability MVP goal
S1,2026-04-10,HO-008,Offshore (All),Onshore (Sana Hassan),Week 1 async status update,Compiled findings / questions / blockers from offshore team,2,Not Started,,Feeds into weekly sync call
S1,2026-04-13,HO-009,Onshore (Evgeniya Kapusta),Offshore (All),Discovery session 4 recording - Z Bridge / ZZ consolidation,Record and share consolidation walkthrough,4,Not Started,,Critical downstream dependency understanding
S1,2026-04-14,HO-010,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Discovery session 5 recording - Nielsen demos and multi-demo requirements,Record and share demo mapping session,4,Not Started,,MVP must support all demos vs current single-demo Excel
S1,2026-04-15,HO-011,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Historical forecast vs actuals data,Provide historical data files for backtesting baseline,8,Not Started,,May require Finance leadership approval for data sharing
S1,2026-04-15,HO-012,Onshore (Evgeniya Kapusta),Offshore (All),Discovery session 6 recording - Historical data availability,Record and share historical data inventory session,4,Not Started,,
S1,2026-04-16,HO-013,Offshore (DS Lead) + Onshore (Evgeniya Kapusta),All Teams,Rule catalog v0.1,Joint deliverable: compiled Entertainment + News rule catalog,8,Not Started,,Joint onshore/offshore collaboration required
S1,2026-04-17,HO-014,Onshore (Evgeniya Kapusta),Offshore (All),Recorded video walkthroughs of key model sections,Async-consumable video recordings of Excel model logic,24,Not Started,,Critical for offshore to deeply understand models without scheduling constraints
S1,2026-04-17,HO-015,All Teams,All Teams,Onboarding completion report,Combined onboarding status from all roles (onshore + offshore),4,Not Started,,Gate: team must be onboarded before Sprint 2
S2,2026-04-21,HO-016,Offshore (Senior DE 1 / Senior DE 2),Onshore (Evgeniya Kapusta / Tech Architect),Data architecture findings,DE team findings on model structure / data fields / lineage for ADD review,8,Not Started,,Offshore provides analysis / onshore validates with business context
S2,2026-04-21,HO-017,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Rule catalog validation feedback,Finance-validated rules for Entertainment revenue calculations,8,Not Started,,Onshore Finance confirms / offshore DS updates catalog
S2,2026-04-22,HO-018,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Rule catalog validation feedback - News and liability,Finance-validated rules for News and liability calculations,8,Not Started,,
S2,2026-04-27,HO-019,Onshore (Sana Hassan / Tech Architect),Offshore (Nirav Dalal),ADD stakeholder review feedback,Compiled feedback from IT/Product leadership (Kunal / Rohini / Adam),8,Not Started,,Offshore incorporates into ADD revisions
S2,2026-04-27,HO-020,Onshore (Evgeniya Kapusta),Offshore (Senior DE 1),BDM review feedback,Finance-validated entity relationships and business meaning,8,Not Started,,Offshore revises BDM based on business feedback
S2,2026-04-30,HO-021,Onshore (Evgeniya Kapusta),Offshore (Nirav Dalal),BDM stakeholder feedback from Finance leadership,Compiled feedback from Katie Kennedy / Linda Ramos,8,Not Started,,Final input before BDM sign-off
S2,2026-05-01,HO-022,All Teams,All Teams,ADD v1.0 + BDM v1.0 signed artifacts,Formally signed-off ADD and BDM documents,4,Not Started,,Milestone 1 and 2 gate artifacts
S3,2026-05-04,HO-023,Onshore (Tech Architect),Offshore (Senior DE 1 / Senior DE 2),Approved Iceberg schema design patterns,Schema design patterns / partitioning strategy / naming conventions,4,Not Started,,Must be in place before DE starts creating tables
S3,2026-05-12,HO-024,Onshore (Evgeniya Kapusta),Offshore (Senior DE 1 / Senior DE 2),Source data validation baseline,Finance-verified source data totals for DQ reconciliation checks,8,Not Started,,Required: offshore DQ checks must match Finance-verified totals
S3,2026-05-14,HO-025,Offshore (Senior DE 1 / Senior DE 2),Onshore (Evgeniya Kapusta),Ingested data samples for validation,Sample output from Iceberg tables for Finance to validate accuracy,8,Not Started,,Onshore validates / provides correction feedback
S3,2026-05-14,HO-026,Offshore (Senior DE 1) + Onshore (Evgeniya Kapusta),All Teams,Data dictionary v1.0,Jointly compiled data dictionary with business definitions and technical specs,8,Not Started,,Key deliverable - requires both business and technical input
